replicate,seed,event_count,converged,mu_hat,alpha_hat,beta_hat,log_likelihood,gradient_norm,branching_ratio,iterations
0,4242,206,1,0.6220118423,0.4793651122,1.207901259,-186.7662718,4.891129813e-05,0.3968578629,69
1,4243,206,1,0.7282461758,0.6577562456,2.2400889,-186.6818616,4.78976436e-05,0.2936295277,76
2,4244,242,1,0.8984174152,0.513492873,1.976046865,-187.651659,4.162616122e-05,0.2598586511,216
3,4245,218,1,0.635558707,0.7033708995,1.687011783,-178.262382,3.961702296e-05,0.4169330094,106
4,4246,205,1,0.6734174746,0.3380179021,0.9809422534,-192.2309489,3.9715584e-05,0.3445849141,83
5,4247,202,1,0.6949706257,0.361894798,1.152594646,-192.5768708,4.154135139e-05,0.3139827166,114
6,4248,224,1,0.7735663035,0.5877672889,1.900174816,-187.9992467,4.922251788e-05,0.3093227444,132
7,4249,228,1,0.54934576,0.5799797369,1.118959201,-163.2486358,4.854153916e-05,0.5183207186,83
8,4250,219,1,0.6881880525,0.3581815529,0.9577220739,-188.0416265,3.01118469e-05,0.3739932102,125
9,4251,203,1,0.6325842465,0.6630663902,1.75989279,-184.1765526,4.136701508e-05,0.3767652177,72
10,4252,218,1,0.7409886749,0.743735094,2.318957514,-186.3639792,3.147051381e-05,0.3207195861,79
11,4253,224,1,0.7774650174,0.4134044994,1.348785205,-190.1140644,4.468875606e-05,0.3065013597,112
12,4254,215,1,0.4449282691,0.1862637455,0.3158802351,-184.1123498,9.893707819e-05,0.5896657177,51
13,4255,214,1,0.8087621984,0.4375592118,1.788597122,-193.2719617,4.72176771e-05,0.2446382175,2
14,4256,226,1,0.8284352141,0.4151057722,1.547689302,-191.3437253,3.829685328e-05,0.2682100158,264
15,4257,237,1,0.7088851903,0.4853913143,1.207144902,-181.3166796,3.578995142e-05,0.4020986324,109
16,4258,183,1,0.5954911511,0.4591586039,1.298914664,-189.6469282,4.972251657e-05,0.3534940491,179
17,4259,203,1,0.6126800347,0.4101030135,1.027470607,-186.2304538,4.43176577e-05,0.3991384383,55
18,4260,231,1,0.8180068087,0.4391151823,1.505007919,-190.314678,4.525833713e-05,0.29176935,156
19,4261,241,1,0.6192370041,0.9634071589,1.968228195,-164.8401394,4.389446565e-05,0.4894794014,226
20,4262,204,1,0.6204463586,0.5921294652,1.506995063,-183.1336699,4.303475772e-05,0.3929206405,99
21,4263,229,1,0.6756321011,0.507984424,1.232575685,-182.6745131,3.149389923e-05,0.4121324396,96
22,4264,209,1,0.8599964785,0.6070759316,3.429091407,-193.8711771,4.548073085e-05,0.1770369639,225
23,4265,270,1,0.6117089784,0.6615797938,1.207007176,-155.6279099,4.976984373e-05,0.5481158744,108
24,4266,202,1,0.6775304199,0.2726290065,0.8260603027,-193.9684783,4.483593019e-05,0.3300352355,65
25,4267,204,1,0.6850880729,0.6644799491,2.00762034,-186.610483,3.932285037e-05,0.3309788887,89
26,4268,235,1,0.8372653193,0.502942001,1.74210213,-188.4849897,4.531957013e-05,0.2886983445,226
27,4269,215,1,0.7880778637,0.3562476514,1.333776321,-193.9156542,4.258845549e-05,0.2670969979,155
28,4270,231,1,0.634321965,0.7987748041,1.753499178,-172.1786514,4.376934646e-05,0.4555318954,85
29,4271,236,1,0.8217180991,0.2867873698,0.9364693962,-191.5573155,4.131329441e-05,0.3062431842,195
30,4272,185,1,0.6683311828,0.7279019359,2.611063499,-186.7769031,9.972603577e-05,0.2787760375,410
31,4273,215,1,0.619405746,0.6387945327,1.504933933,-179.8352061,4.525745727e-05,0.4244668278,84
32,4274,230,1,0.586843772,0.4299142077,0.8776331503,-180.2266846,4.58739312e-05,0.4898563911,173
33,4275,214,1,0.7341630647,0.7874826005,2.508974838,-185.7670628,4.545005587e-05,0.3138662806,94
34,4276,213,1,0.8093297952,0.9361014558,3.898291692,-188.3610221,3.916062204e-05,0.2401311984,112
35,4277,207,1,0.9187058164,1.412366123,12.56983517,-192.8856,7.900130141e-05,0.1123615468,25
36,4278,235,1,0.7584989962,0.3975928082,1.121594729,-188.7625013,4.919433398e-05,0.3544888345,191
37,4279,242,1,0.7791552886,0.5699609583,1.598850077,-181.2822442,4.623692378e-05,0.356481803,106
38,4280,200,1,0.7179841973,0.1880422062,0.6557989286,-196.9123368,4.157856416e-05,0.2867375928,135
39,4281,209,1,0.7380021574,0.3794481559,1.287583977,-191.3953194,4.604771349e-05,0.2946977926,86
40,4282,250,1,0.7027748883,0.3438368719,0.7844372717,-180.9190116,4.657197244e-05,0.4383229665,355
41,4283,210,1,0.5491143871,0.5687517739,1.191072417,-177.3393724,2.839597762e-05,0.4775123376,85
42,4284,219,1,0.6752540011,0.5267252394,1.373705021,-185.4611944,4.94071113e-05,0.3834340206,102
43,4285,214,1,0.6909150242,0.5535141102,1.556054476,-184.960953,3.814327521e-05,0.3557164088,66
44,4286,206,1,0.7049343987,0.7119783615,2.224571534,-186.0059784,3.270840268e-05,0.3200519069,67
45,4287,197,0,0.8116199386,0.2246621603,1.269822936,-197.5278322,0.1386584535,0.1769240056,400
46,4288,218,1,0.7996278132,0.2387345224,0.8949738415,-195.5911493,3.741818935e-05,0.2667502795,333
47,4289,231,1,0.7939178082,0.6650840797,2.127414611,-185.8351901,4.660762443e-05,0.312625511,114
48,4290,210,1,0.6309270813,0.4523271892,1.133149486,-186.782034,4.230781377e-05,0.3991769796,71
49,4291,234,1,0.7233940511,0.569127621,1.484529293,-182.9496967,4.642160082e-05,0.3833724426,130
50,4292,248,1,0.7438110318,0.8113739189,2.026655907,-170.9935386,4.973014003e-05,0.4003510987,128
51,4293,172,1,0.6580796278,0.3145343052,1.338381907,-192.8534285,4.656302633e-05,0.2350108766,286
52,4294,272,1,0.8247786443,0.4559370035,1.153329249,-176.632639,4.732703789e-05,0.3953225012,157
53,4295,234,1,0.8666688828,0.2978686365,1.137577699,-192.5907109,4.792069218e-05,0.2618446518,261
54,4296,262,1,0.7662139602,0.7110158291,1.711777596,-168.9133943,4.824538505e-05,0.4153669441,168
55,4297,196,1,0.6660510214,0.406169308,1.267685469,-192.3285048,2.009834518e-05,0.3204022747,38
56,4298,215,1,0.5881206113,0.3832449439,0.8394047547,-186.2341757,4.332944626e-05,0.4565675162,115
57,4299,208,1,0.6145512683,0.4703596157,1.149775251,-186.9555817,4.374210604e-05,0.4090883113,57
58,4300,230,1,0.6154137951,0.403353754,0.8527027153,-181.8187145,4.665936704e-05,0.4730297521,145
59,4301,211,1,0.7147826867,0.5139729554,1.589476287,-190.6607657,4.50809504e-05,0.3233599392,94
60,4302,242,1,0.6100218147,0.4988393046,1.006023782,-174.9698416,4.892228315e-05,0.495852398,177
61,4303,224,1,0.780859144,0.2388626834,0.7763270729,-193.7655124,4.765812451e-05,0.3076830523,345
62,4304,238,1,0.7256209814,0.3697263669,0.943863867,-185.7256866,4.411453146e-05,0.3917157757,131
63,4305,240,1,0.7268147277,0.4739420579,1.201542505,-180.9496871,4.240538882e-05,0.3944446874,99
64,4306,197,1,0.5877374597,0.3728868911,0.9245211231,-188.8696384,4.708647746e-05,0.4033297691,43
65,4307,199,1,0.5906647443,0.4489543673,1.101213963,-186.8115084,3.517410662e-05,0.4076904057,42
66,4308,218,1,0.6383018946,0.3602937885,0.8689181207,-187.3307796,3.207490177e-05,0.4146464206,101
67,4309,199,1,0.7004866379,0.524125419,1.770566796,-190.8170814,3.394792081e-05,0.296021263,70
68,4310,226,1,0.6650277153,0.3042623005,0.7322321881,-188.3198155,4.462774409e-05,0.4155270766,255
69,4311,229,1,0.7891834342,0.5278698787,1.691367921,-187.7563308,4.630846659e-05,0.3120964234,310
70,4312,220,1,0.5920486487,0.6392890648,1.382676731,-176.2288131,4.4284201e-05,0.4623561318,102
71,4313,246,1,0.7739455847,0.6675291245,1.800314769,-176.287147,3.638814401e-05,0.3707846738,162
72,4314,193,1,0.7222236555,0.5194559568,2.060208975,-192.0036616,4.835619318e-05,0.2521375079,107
73,4315,231,1,0.5943904586,0.4142487745,0.8500053634,-177.319265,3.985480804e-05,0.4873484243,169
74,4316,235,1,0.8338394915,0.5683837285,1.954042932,-186.5267171,4.728037382e-05,0.2908757629,130
75,4317,193,1,0.5699084326,0.2314829903,0.5573302982,-192.3091444,3.776419909e-05,0.4153425555,87
76,4318,228,1,0.7027299584,0.4574860282,1.16903358,-184.3448419,3.369094161e-05,0.3913369435,121
77,4319,181,1,0.5146823448,0.3269108782,0.7472370866,-187.3748165,9.752340515e-05,0.4374928441,9
78,4320,217,1,0.6981107303,0.2831471299,0.7939224955,-192.31837,3.73113722e-05,0.3566432888,253
79,4321,192,1,0.6905579717,0.4859606676,1.719089177,-192.3196142,2.707861423e-05,0.2826849671,57
80,4322,222,1,0.7214249923,0.6508815098,1.857173567,-182.024771,4.703560322e-05,0.3504688638,142
81,4323,204,1,0.7463520082,0.4376037013,1.627622588,-193.7660332,4.687251896e-05,0.268860671,79
82,4324,213,1,0.8174007166,0.649349862,2.785408156,-189.4629523,4.7249881e-05,0.2331255692,205
83,4325,187,1,0.6906441442,0.628890163,2.405510958,-189.9227786,4.620392229e-05,0.2614372472,89
84,4326,230,1,0.6464027534,0.586015906,1.329679413,-177.6436572,4.6452493e-05,0.4407196956,92
85,4327,190,1,0.7897234642,0.3966799223,2.351095266,-196.1906679,9.849985849e-05,0.1687213309,153
86,4328,198,1,0.7745887391,0.4474641207,2.056012499,-193.6292904,4.419591315e-05,0.2176368679,145
87,4329,223,1,0.8504688246,0.8455891454,3.563684667,-187.0257463,4.690813744e-05,0.2372794522,201
88,4330,227,1,0.8252482577,0.2741699591,1.000167202,-193.2080873,4.729433082e-05,0.274124125,241
89,4331,197,1,0.7474323299,0.4268798215,1.761160627,-193.7586122,4.933288074e-05,0.2423855127,134
90,4332,193,1,0.793664859,0.4179043692,2.353239632,-195.7428996,4.643550053e-05,0.1775868312,218
91,4333,161,1,0.7048561809,0.2508136436,2.015557846,-194.3204161,3.871449757e-05,0.1244388218,105
92,4334,186,1,0.4452722669,0.6067025532,1.160168567,-171.1614364,4.982361482e-05,0.52294345,65
93,4335,230,1,0.6624759088,0.7552766635,1.781580475,-172.9332514,3.106313393e-05,0.4239363162,100
94,4336,204,1,0.6451389155,0.7762076227,2.111872495,-184.3851807,4.37873051e-05,0.3675447379,52
95,4337,223,1,0.5477976252,0.6390664429,1.255834351,-172.958054,4.751308727e-05,0.5088779762,124
96,4338,210,1,0.7522894976,0.4691365619,1.654154118,-191.6991889,3.956615226e-05,0.2836111561,151
97,4339,193,1,0.6696430951,0.3310952205,1.066684085,-192.7304625,2.779221615e-05,0.3103967005,74
98,4340,227,1,0.8311654535,0.4738428263,1.765528239,-190.9024966,4.722829212e-05,0.2683858666,174
99,4341,229,1,0.6747637546,0.3545782897,0.8610524786,-184.7891851,4.318482868e-05,0.4117963754,179
100,4342,208,1,0.4561086626,0.4875930677,0.8523756508,-175.6984038,4.499805161e-05,0.5720401178,156
101,4343,217,1,0.6881819896,0.4733612511,1.287149698,-186.9749233,4.461251558e-05,0.3677592838,79
102,4344,221,1,0.6059906804,0.4842643006,1.065820873,-179.7655071,4.891306827e-05,0.4543580568,98
103,4345,231,1,0.8666689347,0.5939588422,2.376223158,-190.0624912,4.694622769e-05,0.2499592011,150
104,4346,236,1,0.7350503308,0.8109703246,2.150617149,-175.261386,4.511880384e-05,0.3770872584,104
105,4347,198,1,0.6163999464,0.4467948095,1.18378464,-188.4864253,3.718631011e-05,0.3774291324,63
106,4348,225,1,0.7874384963,0.3733260728,1.24043112,-190.2075692,4.427696022e-05,0.3009647749,149
107,4349,247,1,0.6172854377,0.5679311356,1.130818619,-174.7503747,4.35731978e-05,0.5022300889,101
108,4350,204,1,0.6083741019,0.6507377697,1.609457964,-179.4940896,4.342281571e-05,0.4043210722,74
109,4351,196,1,0.6375922518,0.6448659842,1.842766557,-183.5322716,3.450165654e-05,0.3499444798,48
110,4352,202,1,0.750999403,0.3214014801,1.238628536,-194.3600206,4.687858011e-05,0.2594817339,97
111,4353,226,1,0.64515087,0.4356934671,1.006135321,-185.0530632,4.132347647e-05,0.4330366485,105
112,4354,239,1,0.6352557838,0.5233653441,1.11523858,-176.0911546,3.958894142e-05,0.4692855441,105
113,4355,198,1,0.8167378589,0.2470796264,1.407958945,-197.4462148,4.656947315e-05,0.1754878061,257
114,4356,222,1,0.830985864,0.4857398769,1.931783723,-191.2234964,9.63839172e-05,0.2514463039,48
115,4357,189,1,0.4619754583,0.1633122393,0.3136343132,-189.0445636,4.80370392e-05,0.5207090948,241
116,4358,194,1,0.7099624999,0.3659654987,1.359334244,-193.9705319,1.972597658e-05,0.2692240708,50
117,4359,228,1,0.7667883479,0.8218560666,2.510409202,-180.1666701,3.298497319e-05,0.3273793236,154
118,4360,272,1,0.7019267627,0.4421327841,0.9099227733,-167.4968893,4.675524758e-05,0.485901438,269
119,4361,204,1,0.6129486583,0.2697307761,0.6678426611,-192.69551,4.934092407e-05,0.4038837166,105
120,4362,222,1,0.794521837,0.5470648001,1.924575708,-190.1934918,4.466134586e-05,0.2842521589,128
121,4363,215,1,0.6266643377,0.9511913132,2.267417039,-175.1932516,4.977946552e-05,0.4195043509,76
122,4364,214,0,0.9671756668,0.05481204621,0.5925979235,-198.7858907,9.463193683,0.09249449592,400
123,4365,246,1,0.914780638,0.7675449628,2.994992889,-184.3818862,3.557837968e-05,0.2562760552,210
124,4366,188,1,0.6295084097,0.5397947056,1.633398381,-185.5203693,9.923561192e-05,0.3304733932,337
125,4367,229,1,0.6600779702,0.4827118637,1.138422757,-183.1149783,3.936932515e-05,0.4240181082,107
126,4368,227,1,0.6767621116,1.035750949,2.547786212,-168.4648679,3.531906344e-05,0.4065297723,86
127,4369,228,1,0.8121965648,0.4412243989,1.519277367,-188.8209971,4.821080981e-05,0.2904172789,158
128,4370,220,1,0.6672442238,0.2529945692,0.6374564661,-190.9522619,4.090963077e-05,0.3968813287,189
129,4371,208,1,0.6894471156,0.8886218068,2.622989013,-181.2131008,4.072058647e-05,0.3387821307,87
130,4372,277,1,0.8793788678,0.5662881483,1.543695167,-171.4793521,4.648994579e-05,0.3668393607,200
131,4373,208,1,0.708743711,0.4259151891,1.336525782,-191.3964072,4.26537487e-05,0.3186733804,64
132,4374,184,1,0.6679378663,0.6121722516,2.228876972,-189.4263703,9.898851447e-05,0.274655021,80
133,4375,245,1,0.7426734053,0.773775363,1.95031879,-174.7411135,4.172962441e-05,0.3967430182,142
134,4376,177,1,0.5488866978,0.4624424727,1.208239928,-187.3146033,9.938819842e-05,0.382740598,34
135,4377,249,1,1.024680055,0.3125134751,1.765708191,-191.4847737,4.830178696e-05,0.176990443,289
136,4378,215,1,0.5410249454,0.6280713067,1.260388262,-174.680998,4.71023603e-05,0.4983157378,82
137,4379,246,1,0.8941699403,0.7295250183,2.665002029,-183.9030047,4.621674419e-05,0.2737427627,184
138,4380,258,1,0.7874712216,0.9758939466,2.501049614,-167.698085,4.893239906e-05,0.3901937574,390
139,4381,215,1,0.7086094775,0.6818437368,2.000410927,-183.3394294,3.125738583e-05,0.3408518357,116
140,4382,207,1,0.6831765969,0.3098758307,0.9093632896,-192.1856974,3.758709461e-05,0.3407613153,85
141,4383,204,1,0.8191689995,0.5812232035,2.9478209,-194.4968175,4.480243281e-05,0.1971704602,220
142,4384,182,0,0.6929142327,0.2644712018,1.105495752,-195.6295672,0.09465275461,0.2392331236,400
143,4385,238,1,0.7122028273,0.4850575061,1.184298388,-182.2629351,3.263737734e-05,0.4095737281,167
144,4386,231,1,0.9101478361,1.377344827,6.476885941,-182.7182357,4.03882957e-05,0.2126554087,280
145,4387,215,1,0.8546336515,0.8850980479,4.317448504,-189.3872179,9.645545722e-05,0.2050048882,318
146,4388,215,1,0.720138649,0.397094082,1.201790254,-190.1562094,2.807310235e-05,0.3304187904,101
147,4389,196,1,0.5833242951,0.7736757802,1.909881278,-178.7890733,2.556179615e-05,0.4050910332,61
148,4390,226,1,0.7390347584,0.8440667449,2.439536866,-179.6595942,4.689484991e-05,0.3459946668,86
149,4391,187,1,0.6425101197,0.5654993126,1.791177444,-189.9157486,9.946602988e-05,0.3157137304,60
